Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend;Revenue
0;0;0;0;1;0;0.2;0.2;0;0.6;Feb;2;2;5;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;18;902;0;0.007407407;0;0;Feb;2;7;2;4;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.2;Feb;3;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;2;6;1;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;20;1.973.777.778;0.025;0.0525;0;0;Feb;2;6;6;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;43;0;0.1;0;0.4;Feb;2;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;4.266.666.667;0;0.0125;0;0;Feb;2;4;3;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;135;0;0.066666667;0;0;Feb;2;4;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;16;5.883.333.333;0;0.025;0;0;Feb;2;4;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;76;0;0.05;0;0.6;Feb;3;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;1;Feb;1;1;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.4;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;7;208;0;0.028571429;0;0;Feb;4;1;1;5;Returning_Visitor;TRUE;FALSE
0;0;0;0;4;270;0;0.016666667;0;0.8;FEBR;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;39.5;0;0.02;0;0;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;375;0.016666667;0.058333333;0;0;Feb;3;2;4;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.8;Feb;2;2;2;1;RETURNING;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;1;3;RETURNING;FALSE;FALSE
0;0;0;0;7;150;0.057142857;0.085714286;0;0;Feb;2;2;2;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;138;0;0.066666667;0;0;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;7;337.5;0.028571429;0.023809524;0;0.4;Feb;4;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;19;6.200.333.333;0;0.007894737;0;0;Feb;1;1;4;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;52;0;0.1;0;0;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;13;649.25;0;0.015384615;0;0;Feb;2;2;1;5;New_Visitor;FALSE;FALSE
0;0;0;0;27;9.253.333.333;0.003703704;0.025925926;0;0.6;Feb;4;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;33;0;0.1;0;0.2;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;1566.5;0.05;0.066666667;0;0.2;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;105;0;0.025;0;0.6;Feb;1;1;1;4;Returning_Visitor;FALSE;FALSE
0;0;1;0;7;50;0.038095238;0.080952381;0;0.6;Feb;2;4;1;7;Returning_Visitor;FALSE;FALSE
0;0;0;0;16;644.2;0.004166667;0.031666667;0;0;Feb;3;2;3;4;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;415;0;0.033333333;0;0.4;Feb;1;1;3;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;27;0.15;0.15;0;0;Feb;1;1;7;2;Returning_Visitor;FALSE;FALSE
0;0;1;0;9;215;0.044444444;0.074074074;0;0.8;Feb;4;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;162;0.05;0.066666667;0;0;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;114;0.05;0.066666667;0;0.8;Feb;3;3;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;253;0;0.016666667;0;0.6;Feb;2;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;0;0.2;0.2;0;0.4;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.8;Feb;1;1;2;3;Returning_Visitor;FALSE;FALSE
0;0;1;93;30;1.045.833.333;0.012903226;0.035483871;0;0.2;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;3.178.333.333;0;0.005555556;0;0;Feb;1;1;1;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;21;1.146.333.333;0;0.012962963;0;0.8;Feb;3;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;11;577;0.018181818;0.027272727;0;0.2;Feb;2;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;95;0;0.075;0;0;Feb;4;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;301.5;0;0.111111111;0;0;Feb;2;4;9;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;243;0;0.033333333;0;0;Feb;2;4;4;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;135.5;0;0.05;0;0.6;Feb;2;2;1;2;Returning_Visitor;FALSE;FALSE
0;0;2;75;14;4.423.333.333;0;0.034375;0;0.8;Feb;1;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;41;0;0.066666667;0;0;Feb;1;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;11;292.9;0.028;0.11952381;0;0;Feb;2;4;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;1.238.333.333;0;0.040740741;0;0.4;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;10;2.254.666.667;0;0.05;0;0.4;Feb;1;1;8;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;13;0.133333333;0.166666667;0;0;Feb;2;4;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;222;0;0.1;0;0;Feb;2;6;1;2;Returning_Visitor;TRUE;FALSE
0;-1;0;-1;1;-1;0.2;0.2;0;0;Feb;3;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;2.017.166.667;0;0.011111111;0;0.8;Feb;2;2;4;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;1.581.666.667;0;0.033333333;0;0;Feb;3;2;4;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;3.036.666.667;0.005555556;0.046296296;0;0;Feb;2;4;5;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;25;0;0.066666667;0;0;Feb;2;4;1;5;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;42;0.05;0.15;0;0.4;Feb;99;2;1;4;Returning_Visitor;FALSE;FALSE
0;-1;0;-1;1;-1;0.2;0.2;0;0;Feb;2;2;7;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;272.5;0;0.011851852;0;0.2;Feb;1;1;6;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;2;2;2;3;Returning_Visitor;FALSE;FALSE
0;0;1;19;10;852;0;0.009090909;0;0;Feb;2;2;3;6;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;780;0.066666667;0.066666667;0;0.4;Feb;2;4;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;1038;0;0.033333333;0;0;Feb;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;573;0;0.05;0;0;Feb;2;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;28;1.231.233.333;0.007142857;0.030357143;0;0;Feb;1;1;4;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;11;3.166.666.667;0;0.027272727;0;0.8;Feb;2;2;2;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;20;8.737.365.079;0.0075;0.028166667;0;0;Feb;1;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.4;Feb;2;2;3;4;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;16;0.1;0.15;0;0;Feb;2;5;5;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;19;615;0;0.026315789;0;0.2;Feb;2;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;261.75;0;0.026666667;0;0;Feb;2;6;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;21;6.158.831.169;0.033333333;0.04993081;0;0;Feb;3;2;2;1;Returning_Visitor;TRUE;0
0;0;0;0;1;0;0.2;0.2;0;0;Feb;3;3;3;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;117.5;0;0.033333333;0;0.8;Feb;1;1;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;3;2;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;23;5.016.666.667;0.008695652;0.01884058;0;0.6;Feb;1;1;4;2;RETURNING;FALSE;FALSE
0;0;0;0;6;467;0;0.016666667;0;0.4;Feb;1;1;3;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;23;7.371.666.667;0.008695652;0.011594203;0;0.6;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;129;0;0.033333333;0;0;Feb;1;1;3;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;63;0;0.04;0;0;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;125;0.086666667;0.166666667;0;0;Feb;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;11;6.843.333.333;0.018181818;0.063636364;0;0;Feb;2;4;6;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;20;6.654.722.222;0;0.0145;0;0.8;Feb;3;2;7;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;17;4.371.666.667;0.011111111;0.033333333;0;0;Feb;2;4;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;55;0.066666667;0.1;0;0.6;Feb;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.8;Feb;1;1;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;666;0;0.014285714;0;0;Feb;1;1;6;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;3;2;3;3;Returning_Visitor;FALSE;0
0;0;0;0;6;163.25;0.033333333;0.033333333;0;0.6;Feb;1;1;6;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;17;284.25;0;0.011764706;0;0;Feb;3;2;6;2;Returning_Visitor;TRUE;FALSE
0;-1;0;-1;1;-1;0.2;0.2;0;0.6;Feb;4;2;1;3;Returning_Visitor;FALSE;FALSE
0;-1;0;-1;1;-1;0.2;0.2;0;0;Feb;2;4;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;260;0.008333333;0.025;0;0.8;Feb;3;2;1;3;RETURNING;TRUE;FALSE
0;0;16;1.210.397.619;5;2.798.571.429;0.003174603;0.012764202;0;0;Mar;2;2;1;8;Returning_Visitor;FALSE;FALSE
0;0;0;0;20;927.45;0.011111111;0.027248677;8.000.740.741;0;Mar;1;1;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;0;0.2;0.2;0;0;Mar;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;42;0;0.066666667;0;0;Mar;2;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;22;3.543.333.333;0.009090909;0.057662338;0;0;Mar;1;1;7;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;98;355.661.241;0.002061856;0.010173465;0;0;Mar;1;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;17;8.402.333.333;0;0.001666667;109.176;0;Mar;2;2;9;2;New_Visitor;FALSE;TRUE
0;0;0;0;5;43;0;0.04;0;0;Mar;1;1;1;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;133.5;0;0.088888889;0;0;Mar;1;2;1;8;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;731;0;0.04375;0;0;Mar;2;4;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;14;5.653.333.333;0.037619048;0.04952381;0;0;Mar;2;6;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;50;0;0.05;0;0;Mar;3;2;8;11;Returning_Visitor;FALSE;FALSE
0;0;0;0;35;1.192.386.111;0.005714286;0.028571429;0;0;Mar;2;4;2;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;198;0.016666667;0.075;0;0;Mar;2;2;3;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;15;0;0.066666667;0;0;Mar;2;4;3;12;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;23;0.08;0.12;0;0;Mar;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;14;0.1;0.15;0;0;Mar;3;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;19;0;0.1;0;0;Mar;2;2;3;11;Returning_Visitor;TRUE;FALSE
0;0;0;0;9;102.5;0;0.022222222;0;0;Mar;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;16;2337;0;0.013333333;1.776.266.667;0;Mar;2;2;1;1;Returning_Visitor;FALSE;TRUE
0;0;0;0;19;1883.5;0.010526316;0.021052632;0;0;Mar;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;132;0.011111111;0.033333333;0;0;Mar;4;1;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;9;478;0;0.011111111;0;0;Mar;3;2;2;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;16;980.25;0;0.04;0;0;Mar;2;2;4;3;Returning_Visitor;FALSE;FALSE
0;0;1;1220;28;2.389.333.333;0.016666667;0.030833333;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;753;0;0.00952381;0;0;Mar;2;10;1;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;31;6.881.666.667;0;0.019354839;0;0;Mar;4;1;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;14;811;0.015384615;0.041025641;0;0;Mar;2;2;8;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;18;5188.5;0;0.05;0;0;Mar;2;5;1;1;Returning_Visitor;FALSE;FALSE
0;-1;0;-1;1;-1;0.2;0.2;0;0;Mar;1;1;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;57;0.08;0.12;0;0;Mar;2;5;2;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;8;0;0.1;0;0;Mar;2;2;5;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;45;844.25;0;0.01037037;0;0;Mar;1;1;3;1;Returning_Visitor;FALSE;FALSE
0;0;1;0;7;188;0;0.033333333;0;0;Mar;2;2;1;8;New_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;3;3;5;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;9;1.163.333.333;0;0.066666667;0;0;Mar;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;30;397;0;0.02;0;0;Mar;2;2;7;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;63;5.220.083.333;0;0.003329865;5.146.331.148;0;Mar;2;5;3;1;Returning_Visitor;TRUE;TRUE
0;0;0;0;20;2.193.333.333;0;0.011666667;0;0;Mar;1;8;7;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;74;0;0.04;0;0;Mar;2;2;1;10;Returning_Visitor;FALSE;FALSE
0;0;0;0;15;1559.6;0;0.033846154;0;0;Mar;2;4;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;6;236.5;0;0.016666667;0;0;Mar;1;1;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;2;5;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;75.5;0.02;0.013333333;0;0;Mar;1;1;2;9;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;153;0;0.05;0;0;Mar;2;5;6;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;18;3658.5;0.016666667;0.05;0;0;Mar;4;2;9;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;1162.5;0;0.025;0;0;Mar;2;2;2;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;32;556.6;0.014583333;0.039583333;0;0;Mar;2;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;41;0;0.033333333;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;11;3.000.714.286;0;0.02;539.892;0;Mar;2;2;1;11;Returning_Visitor;TRUE;TRUE
0;0;0;0;6;69.25;0;0.044444444;0;0;Mar;2;2;4;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;402;0;0.038095238;0;0;Mar;2;2;2;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;35;3.324.333.333;0.011428571;0.024761905;0;0;Mar;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;59;0;0.05;0;0;Mar;1;1;1;10;Returning_Visitor;FALSE;FALSE
0;0;0;0;40;9.054.856.061;0.0135;0.03747619;0;0;Mar;3;2;2;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;13;3.289.166.667;0;0.014285714;5.979.014.286;0;Mar;3;2;1;3;Returning_Visitor;FALSE;TRUE
0;0;0;0;33;7.788.166.667;0;0.022424242;0;0;Mar;2;5;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;1;1;8;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;227.5;0;0.022222222;0;0;Mar;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;15;8.728.333.333;0;0.026666667;0;0;Mar;2;2;2;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;0;0.2;0.2;0;0;Mar;3;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;35;8.350.666.667;0.012571429;0.044761905;0;0;Mar;2;2;6;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;82.5;0;0.05;0;0;Mar;3;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;1;0;1;13;0;0.1;0;0;Mar;3;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;9;0;0.1;0;0;Mar;2;2;1;3;Returning_Visitor;TRUE;0
0;0;0;0;2;7;0;0.1;0;0;Mar;2;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;12;94.5;0.033333333;0.025555556;0;0;Mar;3;2;4;11;Returning_Visitor;FALSE;FALSE
0;0;0;0;29;3312.5;0.013793103;0.028965517;0;0;Mar;2;2;1;13;Returning_Visitor;FALSE;FALSE
0;0;0;0;3;75;0;0.066666667;0;0;Mar;2;5;1;3;Returning_Visitor;TRUE;FALSE
0;0;1;24;27;1547.5;0.003703704;0.014814815;0;0;Mar;3;2;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;2;96;0;0.1;0;0;Mar;99;1;1;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;5;156;0;0.04;0;0;Mar;;2;4;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;10;240.75;0;0.02;0;0;Mar;2;2;9;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;15;1.759.166.667;0.013333333;0.026666667;0;0;Mar;1;1;1;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;3;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;1;929;75;4.105.666.667;0.002631579;0.017324561;0;0;Mar;2;2;3;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;49;1.384.016.667;0;0.011904762;0;0;Mar;2;2;1;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;4;52;0;0.025;0;0;Mar;2;2;1;2;Returning_Visitor;FALSE;FALSE
0;0;0;0;7;64;0;0.014285714;0;0;Mar;2;2;1;3;Returning_Visitor;FALSE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Mar;2;2;4;1;Returning_Visitor;FALSE;FALSE
0;0;0;0;8;326.5;0.1;0.125;0;0;Mar;1;1;1;3;Returning_Visitor;FALSE;FALSE
